GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-test-coverage-example,com.example.util,StringUtils,128,0,26,0,21,0,21,0,8,0
java-test-coverage-example,com.example.util,ArrayUtils,163,0,14,0,28,0,15,0,8,0
java-test-coverage-example,com.example.util,FormatUtils,110,0,13,0,20,0,13,0,5,0
java-test-coverage-example,com.example.util,CompressionUtils,161,0,32,0,33,0,21,0,5,0
java-test-coverage-example,com.example.util,JsonUtils,205,0,24,0,41,0,17,0,5,0
java-test-coverage-example,com.example.util,ConversionUtils,39,0,0,0,8,0,8,0,8,0
java-test-coverage-example,com.example.util,ColorUtils,167,0,16,0,21,0,14,0,6,0
java-test-coverage-example,com.example.util,ValidationUtils,81,0,18,0,13,0,15,0,6,0
java-test-coverage-example,com.example.util,RandomUtils,67,0,6,0,11,0,10,0,7,0
java-test-coverage-example,com.example.util,RegexUtils,72,0,20,0,16,0,15,0,5,0
java-test-coverage-example,com.example.util,CurrencyUtils,102,0,6,0,17,0,9,0,6,0
java-test-coverage-example,com.example.util,NumberUtils,68,0,12,0,17,0,13,0,7,0
java-test-coverage-example,com.example.util,DateUtils,51,0,6,0,8,0,11,0,8,0
java-test-coverage-example,com.example.util,FileUtils,122,0,32,0,21,0,22,0,6,0
java-test-coverage-example,com.example.util,VersionUtils,161,0,20,0,27,0,16,0,5,0
java-test-coverage-example,com.example.util,CollectionUtils,115,0,14,0,18,0,14,0,7,0
java-test-coverage-example,com.example.util,MathUtils,192,0,32,0,24,0,24,0,8,0
java-test-coverage-example,com.example.util,NetworkUtils,125,0,32,0,23,0,22,0,6,0
java-test-coverage-example,com.example.util,HashUtils,75,0,4,0,12,0,9,0,7,0
java-test-coverage-example,com.example.util,ObjectUtils,60,0,16,0,10,0,14,0,6,0
java-test-coverage-example,com.example.model,Person,82,0,0,0,25,0,17,0,17,0
java-test-coverage-example,com.example.model,Transaction,76,0,0,0,24,0,16,0,16,0
java-test-coverage-example,com.example.model,ProductVariant,56,0,0,0,18,0,12,0,12,0
java-test-coverage-example,com.example.model,Comment,86,0,0,0,27,0,18,0,18,0
java-test-coverage-example,com.example.model,Invoice,66,0,0,0,21,0,14,0,14,0
java-test-coverage-example,com.example.model,Employee,63,0,0,0,18,0,12,0,12,0
java-test-coverage-example,com.example.model,BankAccount,66,0,0,0,21,0,14,0,14,0
java-test-coverage-example,com.example.model,Email,32,0,0,0,10,0,7,0,7,0
java-test-coverage-example,com.example.model,Category,46,0,0,0,15,0,10,0,10,0
java-test-coverage-example,com.example.model,Customer,43,0,0,0,12,0,8,0,8,0
java-test-coverage-example,com.example.model,PhoneNumber,46,0,0,0,15,0,10,0,10,0
java-test-coverage-example,com.example.model,Notification,76,0,0,0,24,0,16,0,16,0
java-test-coverage-example,com.example.model,Tag,36,0,0,0,12,0,8,0,8,0
java-test-coverage-example,com.example.model,Role,48,0,4,0,13,0,11,0,9,0
java-test-coverage-example,com.example.model,OrderItem,53,0,0,0,16,0,11,0,11,0
java-test-coverage-example,com.example.model,Shipment,76,0,0,0,24,0,16,0,16,0
java-test-coverage-example,com.example.model,AuditLog,86,0,0,0,27,0,18,0,18,0
java-test-coverage-example,com.example.model,Permission,46,0,0,0,15,0,10,0,10,0
java-test-coverage-example,com.example.model,Warehouse,62,0,0,0,19,0,13,0,13,0
